source_attraction,src_lat,src_lon,dest_attraction,dest_lat,dest_lon,counter
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Acquarena,46.7192275,11.6572294,301
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,611
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Eishalle Brixen,46.7059813,11.651572199999999,2
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Festung Franzensfeste,46.7940346,11.6070764,250
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Frauenmuseum,46.67296929017563,11.158965742856443,5
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Imkereimuseum Plattner-Bienenhof,46.525074700000005,11.4277201,2
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Pfannenspitze,46.691322148611434,11.745305323526795,60
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,kunst Meran,46.6715742,11.1623024,1
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Landesfürstliche Burg,46.6728533,11.162173699999999,3
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Merkantilmuseum,46.499744352611884,11.35430918518226,12
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Messner Mountain Museum Corones,46.7387791,11.9583111,20
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Messner Mountain Museum Firmian,46.478306200000006,11.3017389,21
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Messner Mountain Museum Juval,46.651626799999995,10.9680134,2
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Messner Mountain Museum Ripa,46.794160999999995,11.939904400000001,39
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Mineralienmuseum Teis,46.6527149,11.620324400000001,6
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Multscher Museum und Stadtmuseum Sterzing,46.890834600000005,11.4322722,4
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Museion - Museum für Moderne und Zeitgenössische Kunst,46.715538099999996,11.652626300000001,11
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Museum im Weißen Turm,46.7163815,11.65758612222222,16
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Palmschoß,46.67621564404051,11.713047745083474,6
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Pharmaziemuseum Brixen,46.7166139,11.6582709,156
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Schloss Rodenegg,46.7821085,11.686005499999998,18
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Schloss Runkelstein,46.517469299999995,11.359037800000001,52
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Schloss Velthurns,46.6700207,11.6000965,70
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Silberbergwerk Villanders,46.6539687,11.5435707,3
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Stadtmuseum Klausen,46.63898403984187,11.564138294430485,9
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,395
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Bergbaumuseum – Bergbauwelt Ridnaun Schneeberg,46.9286162,11.2713135,3
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Burgeninstitut - Burg Taufers,46.9259583,11.977367,3
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Burgenmuseum Trostburg,46.595188799999995,11.5345657,10
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn,46.8932602,11.348609300000001,6
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Landesmuseum für Kultur- und Landesgeschichte -  Schloss Tirol,46.69443505,11.14463220930594,1
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Obstbaumuseum,46.5982896,11.161379400000001,2
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Volkskundemuseum,46.80315445,11.954545834352901,2
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Weinmuseum,46.4127576,11.2460979,2
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Plose,46.6980157,11.6826829,862
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Tourism_Agency_Events,46.7148875,11.6547867,201
BunkerMooseum,46.8307549,11.1694596,Messner Mountain Museum Ripa,46.794160999999995,11.939904400000001,3
BunkerMooseum,46.8307549,11.1694596,Museum Passeier - Andreas Hofer,46.801516229565436,11.238736190458482,4
Burg Hocheppan,46.4925375,11.2422954,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,1
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Acquarena,46.7192275,11.6572294,548
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Antiquarium Sebatum,46.783028753731614,11.902474261899073,2
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,474
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Domschatzkammer Bozen,46.497684190485295,11.35389156983986,1
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Eisenbahnwelt,46.6693804,11.0593594,3
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Festung Franzensfeste,46.7940346,11.6070764,260
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Frauenmuseum,46.67296929017563,11.158965742856443,3
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Imkereimuseum Plattner-Bienenhof,46.525074700000005,11.4277201,11
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Pfannenspitze,46.691322148611434,11.745305323526795,113
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Landesfürstliche Burg,46.6728533,11.162173699999999,9
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Merkantilmuseum,46.499744352611884,11.35430918518226,4
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Messner Mountain Museum Corones,46.7387791,11.9583111,11
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Messner Mountain Museum Firmian,46.478306200000006,11.3017389,26
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Messner Mountain Museum Juval,46.651626799999995,10.9680134,2
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Messner Mountain Museum Ripa,46.794160999999995,11.939904400000001,45
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Mineralienmuseum Teis,46.6527149,11.620324400000001,12
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Multscher Museum und Stadtmuseum Sterzing,46.890834600000005,11.4322722,7
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Museion - Museum für Moderne und Zeitgenössische Kunst,46.715538099999996,11.652626300000001,10
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Museum de Gherdeina,46.57392479999999,11.674645337460838,3
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Museum im Weißen Turm,46.7163815,11.65758612222222,45
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Museum Schloss Moos-Schulthaus,46.45368815000001,11.24776647394225,2
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Naturmuseum Südtirol,46.50126988074469,11.357366365592457,5
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Palmschoß,46.67621564404051,11.713047745083474,53
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Pharmaziemuseum Brixen,46.7166139,11.6582709,595
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Schloss Rodenegg,46.7821085,11.686005499999998,33
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Schloss Runkelstein,46.517469299999995,11.359037800000001,42
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Schloss Velthurns,46.6700207,11.6000965,103
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Silberbergwerk Villanders,46.6539687,11.5435707,3
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,St. Prokulus Museum,46.6528703,11.0074376,2
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Stadtmuseum Klausen,46.63898403984187,11.564138294430485,13
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,330
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Bergbaumuseum Prettau,47.0453505,12.1203649,2
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Burgeninstitut - Burg Taufers,46.9259583,11.977367,8
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Burgenmuseum Trostburg,46.595188799999995,11.5345657,1
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn,46.8932602,11.348609300000001,6
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Landesmuseum für Kultur- und Landesgeschichte -  Schloss Tirol,46.69443505,11.14463220930594,6
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Obstbaumuseum,46.5982896,11.161379400000001,2
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Volkskundemuseum,46.80315445,11.954545834352901,50
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Plose,46.6980157,11.6826829,1670
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Tourism_Agency_Events,46.7148875,11.6547867,131
Dolomythos,46.733219535334044,12.279788250803273,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,3
Dolomythos,46.733219535334044,12.279788250803273,Festung Franzensfeste,46.7940346,11.6070764,2
Dolomythos,46.733219535334044,12.279788250803273,Naturmuseum Südtirol,46.50126988074469,11.357366365592457,5
Dolomythos,46.733219535334044,12.279788250803273,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,2
Dolomythos,46.733219535334044,12.279788250803273,Plose,46.6980157,11.6826829,2
Domschatzkammer Bozen,46.497684190485295,11.35389156983986,Merkantilmuseum,46.499744352611884,11.35430918518226,2
Domschatzkammer Bozen,46.497684190485295,11.35389156983986,Multscher Museum und Stadtmuseum Sterzing,46.890834600000005,11.4322722,2
Domschatzkammer Bozen,46.497684190485295,11.35389156983986,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,2
Domschatzkammer Bozen,46.497684190485295,11.35389156983986,Plose,46.6980157,11.6826829,2
Dorfmuseum Tramin,46.34139329999999,11.2401031,Plose,46.6980157,11.6826829,4
Eisenbahnwelt,46.6693804,11.0593594,Acquarena,46.7192275,11.6572294,9
Eisenbahnwelt,46.6693804,11.0593594,Archeoparc,46.721839700000004,10.860789599999999,4
Eisenbahnwelt,46.6693804,11.0593594,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,2
Eisenbahnwelt,46.6693804,11.0593594,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,7
Eisenbahnwelt,46.6693804,11.0593594,Festung Franzensfeste,46.7940346,11.6070764,3
Eisenbahnwelt,46.6693804,11.0593594,Kloster St. Johann in Müstair,46.62963010000001,10.448661,2
Eisenbahnwelt,46.6693804,11.0593594,kunst Meran,46.6715742,11.1623024,2
Eisenbahnwelt,46.6693804,11.0593594,Naturmuseum Südtirol,46.50126988074469,11.357366365592457,6
Eisenbahnwelt,46.6693804,11.0593594,Planetarium Südtirol,46.438674299999995,11.4753424,3
Eisenbahnwelt,46.6693804,11.0593594,Stadtmuseum Meran,46.67166620764228,11.166813428814043,2
Eisenbahnwelt,46.6693804,11.0593594,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,10
Eisenbahnwelt,46.6693804,11.0593594,Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn,46.8932602,11.348609300000001,3
Eisenbahnwelt,46.6693804,11.0593594,Plose,46.6980157,11.6826829,6
Eishalle Brixen,46.7059813,11.651572199999999,Acquarena,46.7192275,11.6572294,14
Eishalle Brixen,46.7059813,11.651572199999999,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,3
Eishalle Brixen,46.7059813,11.651572199999999,Messner Mountain Museum Ripa,46.794160999999995,11.939904400000001,2
Eishalle Brixen,46.7059813,11.651572199999999,Museum im Weißen Turm,46.7163815,11.65758612222222,1
Eishalle Brixen,46.7059813,11.651572199999999,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,3
Eishalle Brixen,46.7059813,11.651572199999999,Plose,46.6980157,11.6826829,39
Erlebnis Kränzelhof,46.6271314,11.1472434,Acquarena,46.7192275,11.6572294,4
Erlebnis Kränzelhof,46.6271314,11.1472434,Plose,46.6980157,11.6826829,3
Festung Franzensfeste,46.7940346,11.6070764,Acquarena,46.7192275,11.6572294,272
Festung Franzensfeste,46.7940346,11.6070764,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,113
Festung Franzensfeste,46.7940346,11.6070764,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,220
Festung Franzensfeste,46.7940346,11.6070764,Dolomythos,46.733219535334044,12.279788250803273,3
Festung Franzensfeste,46.7940346,11.6070764,Eisenbahnwelt,46.6693804,11.0593594,2
Festung Franzensfeste,46.7940346,11.6070764,Frauenmuseum,46.67296929017563,11.158965742856443,6
Festung Franzensfeste,46.7940346,11.6070764,Geomuseum Radein,46.34689764182887,11.396798600521931,2
Festung Franzensfeste,46.7940346,11.6070764,Imkereimuseum Plattner-Bienenhof,46.525074700000005,11.4277201,2
Festung Franzensfeste,46.7940346,11.6070764,Pfannenspitze,46.691322148611434,11.745305323526795,87
Festung Franzensfeste,46.7940346,11.6070764,Messner Mountain Museum Corones,46.7387791,11.9583111,10
Festung Franzensfeste,46.7940346,11.6070764,Messner Mountain Museum Firmian,46.478306200000006,11.3017389,18
