source_attraction,src_lat,src_lon,dest_attraction,dest_lat,dest_lon,counter,source_id,dest_id
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,198,13,7
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Festung Franzensfeste,46.7940346,11.6070764,74,13,23
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Pfannenspitze,46.69132214861144,11.745305323526795,8,13,43
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Landesfürstliche Burg,46.6728533,11.1621737,1,13,49
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Messner Mountain Museum Firmian,46.47830620000001,11.3017389,1,13,55
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Messner Mountain Museum Ripa,46.794161,11.9399044,2,13,58
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Museum im Weißen Turm,46.7163815,11.65758612222222,27,13,66
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Palmschoß,46.67621564404051,11.713047745083475,5,13,81
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Pharmaziemuseum Brixen,46.7166139,11.6582709,457,13,83
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Schloss Rodenegg,46.7821085,11.686005499999998,8,13,88
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Schloss Runkelstein,46.5174693,11.3590378,3,13,89
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Schloss Velthurns,46.6700207,11.6000965,24,13,90
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Stadtmuseum Klausen,46.63898403984187,11.564138294430485,4,13,100
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,117,13,102
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Burgeninstitut - Burg Taufers,46.9259583,11.977367,2,13,106
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Südtiroler Volkskundemuseum,46.80315445,11.954545834352901,45,13,111
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Plose,46.6980157,11.6826829,225,13,114
Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,Tourism_Agency_Events,46.7148875,11.6547867,74,13,116
Domschatzkammer Bozen,46.497684190485295,11.35389156983986,Merkantilmuseum,46.49974435261189,11.35430918518226,2,16,53
Domschatzkammer Bozen,46.497684190485295,11.35389156983986,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,2,16,102
Dorfmuseum Tramin,46.34139329999999,11.2401031,Plose,46.6980157,11.6826829,4,18,114
Eisenbahnwelt,46.6693804,11.0593594,Archeoparc,46.7218397,10.8607896,4,19,5
Eisenbahnwelt,46.6693804,11.0593594,Kloster St. Johann in Müstair,46.62963010000001,10.448661,2,19,44
Eisenbahnwelt,46.6693804,11.0593594,kunst Meran,46.6715742,11.1623024,2,19,46
Eisenbahnwelt,46.6693804,11.0593594,Naturmuseum Südtirol,46.50126988074469,11.357366365592457,4,19,77
Eisenbahnwelt,46.6693804,11.0593594,Stadtmuseum Meran,46.67166620764228,11.166813428814043,2,19,101
Eisenbahnwelt,46.6693804,11.0593594,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,3,19,102
Eishalle Brixen,46.7059813,11.6515722,Acquarena,46.7192275,11.6572294,7,20,1
Eishalle Brixen,46.7059813,11.6515722,Museum im Weißen Turm,46.7163815,11.65758612222222,1,20,66
Eishalle Brixen,46.7059813,11.6515722,Plose,46.6980157,11.6826829,2,20,114
Festung Franzensfeste,46.7940346,11.6070764,Acquarena,46.7192275,11.6572294,141,23,1
Festung Franzensfeste,46.7940346,11.6070764,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,40,23,7
Festung Franzensfeste,46.7940346,11.6070764,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,109,23,13
Festung Franzensfeste,46.7940346,11.6070764,Eisenbahnwelt,46.6693804,11.0593594,2,23,19
Festung Franzensfeste,46.7940346,11.6070764,Pfannenspitze,46.69132214861144,11.745305323526795,17,23,43
Festung Franzensfeste,46.7940346,11.6070764,Messner Mountain Museum Firmian,46.47830620000001,11.3017389,4,23,55
Festung Franzensfeste,46.7940346,11.6070764,Messner Mountain Museum Ripa,46.794161,11.9399044,6,23,58
Festung Franzensfeste,46.7940346,11.6070764,Mineralienmuseum Teis,46.6527149,11.6203244,1,23,60
Festung Franzensfeste,46.7940346,11.6070764,Multscher Museum und Stadtmuseum Sterzing,46.89083460000001,11.4322722,5,23,63
Festung Franzensfeste,46.7940346,11.6070764,Museum im Weißen Turm,46.7163815,11.65758612222222,11,23,66
Festung Franzensfeste,46.7940346,11.6070764,Palmschoß,46.67621564404051,11.713047745083475,8,23,81
Festung Franzensfeste,46.7940346,11.6070764,Pharmaziemuseum Brixen,46.7166139,11.6582709,51,23,83
Festung Franzensfeste,46.7940346,11.6070764,Schloss Rodenegg,46.7821085,11.686005499999998,10,23,88
Festung Franzensfeste,46.7940346,11.6070764,Schloss Runkelstein,46.5174693,11.3590378,4,23,89
Festung Franzensfeste,46.7940346,11.6070764,Schloss Velthurns,46.6700207,11.6000965,46,23,90
Festung Franzensfeste,46.7940346,11.6070764,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,13,23,102
Festung Franzensfeste,46.7940346,11.6070764,Südtiroler Bergbaumuseum – Bergbauwelt Ridnaun Schneeberg,46.9286162,11.2713135,5,23,103
Festung Franzensfeste,46.7940346,11.6070764,Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn,46.8932602,11.3486093,4,23,108
Festung Franzensfeste,46.7940346,11.6070764,Plose,46.6980157,11.6826829,116,23,114
Festung Franzensfeste,46.7940346,11.6070764,Tourism_Agency_Events,46.7148875,11.6547867,6,23,116
Frauenmuseum,46.67296929017563,11.158965742856443,kunst Meran,46.6715742,11.1623024,3,25,46
Frauenmuseum,46.67296929017563,11.158965742856443,Landesfürstliche Burg,46.6728533,11.1621737,1,25,49
Frauenmuseum,46.67296929017563,11.158965742856443,Stadtmuseum Meran,46.67166620764228,11.166813428814043,10,25,101
Frauenmuseum,46.67296929017563,11.158965742856443,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,2,25,102
Frauenmuseum,46.67296929017563,11.158965742856443,Plose,46.6980157,11.6826829,1,25,114
Frauenmuseum,46.67296929017563,11.158965742856443,Tourism_Agency_Events,46.7148875,11.6547867,2,25,116
