source_attraction,src_lat,src_lon,dest_attraction,dest_lat,dest_lon,counter,source_id,dest_id
Archeoparc,46.7218397,10.8607896,Messner Mountain Museum Juval,46.6516268,10.9680134,3,5,56
Archeoparc,46.7218397,10.8607896,Messner Mountain Museum Ripa,46.794161,11.9399044,26,5,58
Archeoparc,46.7218397,10.8607896,Plose,46.6980157,11.6826829,4,5,114
Archeoparc Villanders,46.631871893698026,11.540870035806586,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,3,6,102
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Acquarena,46.7192275,11.6572294,301,7,1
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,611,7,13
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Eishalle Brixen,46.7059813,11.6515722,2,7,20
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Festung Franzensfeste,46.7940346,11.6070764,250,7,23
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Frauenmuseum,46.67296929017563,11.158965742856443,5,7,25
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Imkereimuseum Plattner-Bienenhof,46.52507470000001,11.4277201,2,7,37
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Pfannenspitze,46.69132214861144,11.745305323526795,60,7,43
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,kunst Meran,46.6715742,11.1623024,1,7,46
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Landesfürstliche Burg,46.6728533,11.1621737,3,7,49
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Merkantilmuseum,46.49974435261189,11.35430918518226,12,7,53
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Messner Mountain Museum Corones,46.7387791,11.9583111,20,7,54
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Messner Mountain Museum Firmian,46.47830620000001,11.3017389,21,7,55
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Messner Mountain Museum Juval,46.6516268,10.9680134,2,7,56
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Messner Mountain Museum Ripa,46.794161,11.9399044,39,7,58
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Mineralienmuseum Teis,46.6527149,11.6203244,6,7,60
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Multscher Museum und Stadtmuseum Sterzing,46.89083460000001,11.4322722,4,7,63
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Museion - Museum für Moderne und Zeitgenössische Kunst,46.7155381,11.6526263,11,7,64
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Museum im Weißen Turm,46.7163815,11.65758612222222,16,7,66
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Palmschoß,46.67621564404051,11.713047745083475,6,7,81
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Pharmaziemuseum Brixen,46.7166139,11.6582709,156,7,83
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Schloss Rodenegg,46.7821085,11.686005499999998,18,7,88
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Schloss Runkelstein,46.5174693,11.3590378,52,7,89
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Schloss Velthurns,46.6700207,11.6000965,70,7,90
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Silberbergwerk Villanders,46.6539687,11.5435707,3,7,96
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Stadtmuseum Klausen,46.63898403984187,11.564138294430485,9,7,100
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,395,7,102
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Bergbaumuseum – Bergbauwelt Ridnaun Schneeberg,46.9286162,11.2713135,3,7,103
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Burgeninstitut - Burg Taufers,46.9259583,11.977367,3,7,106
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Burgenmuseum Trostburg,46.5951888,11.5345657,10,7,107
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn,46.8932602,11.3486093,6,7,108
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Landesmuseum für Kultur- und Landesgeschichte -  Schloss Tirol,46.69443505,11.14463220930594,1,7,109
Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,Südtiroler Obstbaumuseum,46.5982896,11.1613794,2,7,110
