name,id,lat,long,type,tags,rank,mostSimilar,top3InTransitions,top3OutTransitions,outTransFrequency
Eishalle Brixen,20,46.7059813,11.651572199999999,Sportstätte,"['events', 'sport and recreation facilities', 'indoor']",31.0,"['Vertikale Kletterzentrum Brixen', 'Schwimmbad Alpinpool', 'Freischwimmbad Klausen']","['Plose', 'Acquarena', 'Pfannenspitze']","['Acquarena', 'Plose', 'Museum im Weißen Turm']",10
Erlebnis Kränzelhof,21,46.6271314,11.1472434,Museum,"['flora', 'events', 'tourism paths, trails and roads', 'outdoor', 'food&shopping']",56.0,"['Skilift Terenten', 'Weinbaumuseum - Schloss Rametz', 'Rohrerhaus']","['Südtiroler Obstbaumuseum', 'Acquarena', 'Naturmuseum Südtirol']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Erlebniswelt Capriz,22,46.8156162589124,11.737882385187724,Museum,"['events', 'indoor', 'food&shopping']",99.0,"['Lodenwelt', 'Tauferer Torturm', 'Museum Ladin Ursus ladinicus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Festung Franzensfeste,23,46.7940346,11.6070764,Museum,"['events', 'cultural and religious institutions', 'indoor']",8.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Schloss Prösels']","['Plose', 'Augustiner Chorherrenstift Neustift', 'Diözesanmuseum Hofburg Brixen']","['Acquarena', 'Plose', 'Diözesanmuseum Hofburg Brixen']",599
Feuerwehrhelmmuseum,24,46.8417185,11.9440895,Museum,"['events', 'cultural and religious institutions', 'indoor']",61.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Schloss Prösels']","['Südtiroler Volkskundemuseum', 'Südtiroler Burgeninstitut - Burg Taufers', 'Acquarena']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Frauenmuseum,25,46.67296929017563,11.158965742856443,Museum,"['cultural and religious institutions', 'indoor']",42.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Landesfürstliche Burg', 'Acquarena', 'Schwimmbad Alpinpool']","['Stadtmuseum Meran', 'kunst Meran', 'Tourism_Agency_Events']",19
Freibad Mühlbach,26,46.793223499999996,11.6678379,Sportstätte,"['water', 'sport and recreation facilities', 'outdoor']",99.0,"['Freischwimmbad Feldthurns', 'Freischwimmbad Klausen', 'Minigolf Meransen']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Freischwimmbad Feldthurns,27,46.6630154,11.5985362,Sportstätte,"['water', 'sport and recreation facilities', 'outdoor']",99.0,"['Freibad Mühlbach', 'Freischwimmbad Klausen', 'Minigolf Meransen']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Freischwimmbad Klausen,28,46.6466021,11.5779599,Sportstätte,"['water', 'events', 'sport and recreation facilities', 'outdoor']",99.0,"['Freischwimmbad Feldthurns', 'Freibad Mühlbach', 'Minigolf Meransen']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Fremdenverkehrsmuseum Hochpustertal,29,46.7382542,12.167641,Museum,"['protected natural heritage', 'cultural and religious institutions', 'indoor']",99.0,"['Museum Kloster Marienberg', 'Kuratorium des Stiftes Innichen', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Gampen Bunker,30,46.529593799999994,11.111905,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
